id,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,NotaTareas,Examen,NotaFinal
15635058,7.00,7.00,7.00,1.00,7.00,2.65,4.0,4.0,1.0,3.4,1.0,-,4.4,3.88,4.27
12622613,5.00,2.67,1.00,1.00,1.50,5.10,3.0,3.7,6.6,6.6,5.3,7.0,6.1,3.98,5.59
1563700J,1.00,3.75,1.00,1.00,7.00,4.00,1.7,5.8,5.3,6.1,5.7,6.3,4.7,5.20,4.79
14632527,6.50,3.50,2.80,1.00,7.30,4.55,1.0,2.0,5.4,5.9,5.8,-,4.5,4.95,4.59
16640632,4.50,3.00,1.00,1.00,7.00,1.00,1.7,1.0,1.0,1.0,1.0,-,2.2,1.88,2.13
15200043,5.00,4.33,1.00,3.01,7.00,5.40,1.0,5.0,7.6,5.0,4.5,7.0,5.4,4.70,5.21
12623059,5.00,4.00,1.00,1.00,1.00,3.60,3.8,1.9,6.7,6.0,5.1,6.9,4.4,4.98,4.53
16638352,6.00,3.75,1.00,2.91,6.45,6.01,7.0,1.0,3.7,6.4,6.1,-,4.9,5.20,5.00
14620162,6.50,6.50,1.00,1.00,7.00,3.25,4.8,6.9,2.3,6.9,5.8,-,5.1,6.20,5.37
17641152,6.00,1.00,2.50,1.00,7.00,2.20,2.4,1.0,1.0,1.0,1.0,-,2.5,1.00,2.13
14619725,6.00,2.00,4.00,1.00,6.45,3.61,5.5,1.8,1.0,6.3,5.5,7.0,4.8,4.05,4.63
14636093,7.00,5.01,7.00,1.00,6.00,3.35,1.0,1.0,3.2,5.3,2.7,7.0,4.7,4.15,4.60
12637432,4.50,1.00,1.00,1.00,4.00,2.65,5.5,3.9,4.6,5.4,3.5,7.0,4.2,4.08,4.17
16635787,5.50,6.67,5.75,2.01,1.50,6.50,1.0,4.7,4.0,5.9,6.1,-,4.9,6.03,5.15
14638045,4.50,1.00,4.00,3.01,7.00,6.69,4.0,1.0,1.0,5.5,5.2,7.0,4.8,4.05,4.60
16205693,4.50,7.00,1.00,1.00,7.70,3.65,5.3,5.1,1.0,4.6,3.5,-,4.3,3.75,4.18
16641590,1.00,2.75,1.00,3.01,1.00,5.15,4.3,5.4,6.7,2.6,1.0,7.0,3.9,4.63,4.07
16207041,7.00,1.00,1.00,4.69,7.00,4.96,1.0,1.1,5.8,6.8,5.4,7.0,5.5,4.98,5.40
15636615,2.50,2.50,1.00,1.00,6.45,1.00,1.0,1.0,1.0,6.3,1.0,-,2.4,3.45,2.64
16635191,7.00,4.33,7.00,3.01,7.70,6.70,5.8,7.0,7.7,6.8,6.4,-,6.6,5.95,6.47
15637921,7.00,7.00,1.00,3.01,7.00,3.25,5.3,4.4,5.5,6.2,5.0,-,5.4,3.81,4.97
17639778,5.00,4.67,2.50,2.91,2.20,3.70,4.5,4.1,4.0,4.8,4.2,6.3,4.4,5.53,4.69
14619903,5.00,4.70,3.25,1.00,4.82,3.61,4.9,5.0,1.0,5.3,2.9,7.0,4.4,4.25,4.38
15209822,5.00,4.00,1.00,5.53,7.00,3.90,4.8,4.8,4.8,5.7,4.1,-,5.0,5.13,5.00
15621375,4.50,2.75,1.00,1.00,2.20,1.10,2.5,1.0,1.0,1.0,1.0,-,1.8,1.85,1.82
